name, base_url, rss_url, xpath_title, xpath_publish_date, xpath_author, xpath_image_url, xpath_content, selector_title, selector_publish_date, selector_author, selector_image_url, selector_content
"NyTimes Business","www.nytimes.com","https://rss.nytimes.com/services/xml/rss/nyt/Business.xml","/html/body/div[1]/div/div[1]/div[2]/main/div/article/header/div[3]/h1","/html/body/div/div/div/div[2]/main/div/article/header/div[7]/div/time","/html/body/div/div/div/div[2]/main/div/article/header/div[6]/div/div[2]/p/span[2]/a","/html/body/div/div/div/div[2]/main/div/article/header/div[5]/div[2]/figure/div/picture/img/@src","/html/body/div/div/div/div[2]/main/div/article/section","[id*=link-]","time[datetime]",".e1jsehar0","img[src]",".meteredContent p"
"NyTimes Politics","www.nytimes.com","https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml","/html/body/div/div/div[1]/div[2]/main/div/article/header/div[3]/h1","/html/body/div/div/div/div[2]/main/div/article/header/div[7]/div/time","/html/body/div/div/div/div[2]/main/div/article/header/div[6]/div/div[2]/p/span[2]/a","/html/body/div/div/div/div[2]/main/div/article/header/div[5]/div[2]/figure/div/picture/img/@src","/html/body/div/div/div/div[2]/main/div/article/section","[id*=link-]","time[datetime]",".e1jsehar0","img[src]",".meteredContent p"
"NyTimes Science","www.nytimes.com","https://rss.nytimes.com/services/xml/rss/nyt/Science.xml","/html/body/div/div/div[1]/div[2]/main/div/article/header/div[3]/h1","/html/body/div/div/div/div[2]/main/div/article/header/div[7]/div/time","/html/body/div/div/div/div[2]/main/div/article/header/div[6]/div/div[2]/p/span[2]/a","/html/body/div/div/div/div[2]/main/div/article/header/div[5]/div[2]/figure/div/picture/img/@src","/html/body/div/div/div/div[2]/main/div/article/section","[id*=link-]","time[datetime]",".e1jsehar0","img[src]",".meteredContent p"
"NyTimes Space","www.nytimes.com","https://rss.nytimes.com/services/xml/rss/nyt/Space.xml","/html/body/div/div/div[1]/div[2]/main/div/article/header/div[3]/h1","/html/body/div/div/div/div[2]/main/div/article/header/div[7]/div/time","/html/body/div/div/div/div[2]/main/div/article/header/div[6]/div/div[2]/p/span[2]/a","/html/body/div/div/div/div[2]/main/div/article/header/div[5]/div[2]/figure/div/picture/img/@src","/html/body/div/div/div/div[2]/main/div/article/section","[id*=link-]","time[datetime]",".e1jsehar0","img[src]",".meteredContent p"
"NyTimes Technology","www.nytimes.com","https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml","/html/body/div/div/div[1]/div[2]/main/div/article/header/div[3]/h1","/html/body/div/div/div/div[2]/main/div/article/header/div[7]/div/time","/html/body/div/div/div/div[2]/main/div/article/header/div[6]/div/div[2]/p/span[2]/a","/html/body/div/div/div/div[2]/main/div/article/header/div[5]/div[2]/figure/div/picture/img/@src","/html/body/div/div/div/div[2]/main/div/article/section","[id*=link-]","time[datetime]",".e1jsehar0","img[src]",".meteredContent p"
"NewsWeek","www.newsweek.com","https://www.newsweek.com/rss","/html/body/div[4]/div/div[3]/div[1]/div[1]/div/article/header/h1","/html/body/div[4]/div/div[3]/div[1]/div[1]/div/article/header/div[2]/time","/html/body/div[4]/div/div[3]/div[1]/div[1]/div/article/header/div[2]/span/a","/html/body/div[4]/div/div[3]/div[1]/div[1]/div/article/div[1]/div[5]/figure[1]/div/picture/img","/html/body/div[4]/div/div[3]/div[1]/div[1]/div/article/div[1]/div[5]","[class*=title]","time[datetime]",".author",".article-body img[src]",".article-body p"
"Forbes","www.forbes.com","https://www.forbes.com/real-time/feed/","/html/body/div[1]/article[1]/main/div[2]/div[2]/div[1]/div[1]/div/h1","/html/body/div[1]/article[1]/main/div[2]/div[2]/div[1]/div[2]/div/div[2]/div[2]/time","/html/body/div[1]/article[1]/main/div[2]/div[2]/div[1]/div[2]/div/div[1]/div/div/div[1]/span/a","/html/body/div[1]/article[1]/main/div[2]/div[2]/div[1]/div[3]/div[1]/figure/div/progressive-image/img","/html/body/div[1]/article[1]/main/div[2]/div[2]/div[1]/div[3]/div[1]",".fs-headline",".content-data time",".contrib-link--name",".image-embed__placeholder img[src]",".article-body p"
